id,exp_date,sub_age,sub_sex,aq_score,aq_category,block,trial,action_category,action,angle,recog_acc,recog_rt,conf_choice,conf_rt,recog_corr_box,recog_resp_box,days_elapsed
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,24,47,simple actions,To Push,180,0,6.31487556,1,1.87804575,3,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,24,48,complex actions,To Get Attention,135,0,18.06067774,0,,3,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,25,49,simple actions,To Push,247,0,10.19792952,0,,3,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,25,50,complex actions,To Get Attention,0,1,8.57506707,1,1.04295497,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,26,51,simple actions,To Hammer,247,1,7.52120903,0,,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,26,52,complex actions,To Clean,135,1,9.21507454,1,1.69265537,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,27,53,complex actions,To Hurry up,0,1,7.79285607,1,2.2500649,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,27,54,simple actions,To Punch,0,0,8.51663725,0,,2,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,28,55,complex actions,To Dance,0,1,14.9251529,0,,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,28,56,simple actions,To Kick,180,1,3.86311171,1,1.10464737,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,29,57,simple actions,To Wave,247,1,8.00036773,1,2.5542095,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,29,58,complex actions,To Stretch,247,0,23.59455418,0,,4,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,30,59,simple actions,To Wave,180,0,6.17619669,0,,1,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,30,60,complex actions,To Play an Instrument,135,1,14.27277566,1,1.08387762,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,31,61,complex actions,To Clean,0,1,18.60749788,0,,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,31,62,simple actions,To Lift,135,1,12.54571504,1,1.23923303,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,32,63,simple actions,To Push,135,0,12.33381557,0,,2,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,32,64,complex actions,To Play an Instrument,0,1,8.4921819,1,0.84916498,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,33,65,complex actions,To Play an Instrument,180,1,6.25024532,1,1.66130536,3,3,75
